,article_name,country,revision_id,article_quality,population
79,Laotegguelnodji Koumtog,Chad,788009613,Stub,"13,707,000"
80,Mahamat Ali Adoum,Chad,788014671,Start,"13,707,000"
81,Mahamat Saleh Annadif,Chad,788658822,Start,"13,707,000"
82,Mohamed Bechir-Sow,Chad,788827248,Stub,"13,707,000"
83,Gontchom：? Sahoulba,Chad,788828388,Start,"13,707,000"
84,Gabriel Lisette,Chad,788828519,Start,"13,707,000"
85,Ali II of Bornu,Chad,788999424,Stub,"13,707,000"
86,Arabi El Goni,Chad,789126126,Stub,"13,707,000"
87,Dunama Dabbalemi,Chad,789935196,Start,"13,707,000"
88,Idris Alooma,Chad,792734868,Start,"13,707,000"
89,Mahamat Nouri,Chad,792954115,FA,"13,707,000"
90,Idriss Ndele Moussa,Chad,796654025,Start,"13,707,000"
91,Mbaydoum Simeon,Chad,796690873,Stub,"13,707,000"
92,Ngarindo Milengar,Chad,796700718,Stub,"13,707,000"
93,List of Prime Ministers of Chad,Chad,797747674,Start,"13,707,000"
94,Idriss D：?by,Chad,798286150,B,"13,707,000"
95,Saleh Kebzabo,Chad,798626040,C,"13,707,000"
96,Moussa Faki,Chad,799043301,C,"13,707,000"
97,Template:Chad-politician-stub,Chad,799373925,Stub,"13,707,000"
98,Kalzeubet Pahimi Deubet,Chad,799413193,Stub,"13,707,000"
99,Haroun Kabadi,Chad,799447895,Start,"13,707,000"
100,Nagoum Yamassoum,Chad,799447995,Start,"13,707,000"
101,Outel Bono,Chad,799448338,Stub,"13,707,000"
102,Ahmat Acyl,Chad,799902492,B,"13,707,000"
103,Djimrangar Dadnadji,Chad,800133552,Start,"13,707,000"
104,Delwa Kassir：? Koumakoye,Chad,801029539,C,"13,707,000"
105,Fid：：le Moungar,Chad,801192255,C,"13,707,000"
106,Jean Alingu：? Bawoyeu,Chad,801192303,C,"13,707,000"
107,Emmanuel Nadingar,Chad,801573576,C,"13,707,000"
108,Roger Djikisna,Chad,801583221,Stub,"13,707,000"
109,Firmin Djidingar,Chad,801583260,Stub,"13,707,000"
110,Idris I of Kanem,Chad,802874918,Stub,"13,707,000"
111,Vice President of Chad,Chad,803166509,Stub,"13,707,000"
112,Hiss：：ne Habr：?,Chad,803166806,GA,"13,707,000"
113,Negue Djogo,Chad,803166989,Start,"13,707,000"
114,Wadel Abdelkader Kamougu：?,Chad,803167152,C,"13,707,000"
115,F：?lix Malloum,Chad,803167336,Start,"13,707,000"
116,Lol Mahamat Choua,Chad,803167424,C,"13,707,000"
117,Goukouni Oueddei,Chad,803167990,C,"13,707,000"
118,Albert Pahimi Padack：?,Chad,803433107,C,"13,707,000"
119,List of heads of state of Chad,Chad,803812011,Start,"13,707,000"
120,Elise Loum,Chad,804773540,Start,"13,707,000"
121,Agnes Allafi,Chad,805493169,Start,"13,707,000"
122,Christine Georges Diguibaye,Chad,806337653,Stub,"13,707,000"
123,Pascal Yoadimnadji,Chad,806508985,C,"13,707,000"
124,Aissa Koli,Chad,806616268,Stub,"13,707,000"
125,Omar I of Kanem,Chad,807425129,Start,"13,707,000"
126,Template:Zimbabwe-politician-stub,Zimbabwe,391862046,Stub,"17,354,000"
127,Template:Zimbabwe-mayor-stub,Zimbabwe,444767985,Stub,"17,354,000"
128,Jabulani Dube,Zimbabwe,645408814,Stub,"17,354,000"
129,Fletcher Dulini,Zimbabwe,669981316,Stub,"17,354,000"
130,Leopold Takawira,Zimbabwe,710060929,Start,"17,354,000"
131,Tinos Rusere,Zimbabwe,710524880,Start,"17,354,000"
132,Gift Tandare,Zimbabwe,710615823,Stub,"17,354,000"
133,Engelbert Rugeje,Zimbabwe,711448400,Start,"17,354,000"
134,Max Mnkandla,Zimbabwe,711509855,Stub,"17,354,000"
135,Lovemore Matombo,Zimbabwe,711958194,Stub,"17,354,000"
136,Alfred Nikita Mangena,Zimbabwe,712004487,Stub,"17,354,000"
137,Simbi Mubako,Zimbabwe,713121927,Stub,"17,354,000"
138,Nicholas Kiti kiti,Zimbabwe,713308132,Stub,"17,354,000"
139,Aleck Gumbo,Zimbabwe,713580662,Stub,"17,354,000"
140,Jabulani Sibanda,Zimbabwe,713618917,Start,"17,354,000"
141,Cain Mathema,Zimbabwe,713726531,Stub,"17,354,000"
142,Patrick Kombayi,Zimbabwe,713740128,Stub,"17,354,000"
143,Langton Towungana,Zimbabwe,713899377,Stub,"17,354,000"
144,Eric Matinenga,Zimbabwe,714455111,Stub,"17,354,000"
145,Emmanuel Chiroto,Zimbabwe,714535045,Start,"17,354,000"
146,Muchadeyi Masunda,Zimbabwe,714706533,C,"17,354,000"
147,David Butau,Zimbabwe,714967769,Stub,"17,354,000"
148,Thompson Samkange,Zimbabwe,715131189,Stub,"17,354,000"
149,Nomalanga Khumalo,Zimbabwe,715183334,Stub,"17,354,000"
150,Henry Dzinotyiweyi,Zimbabwe,715867004,Stub,"17,354,000"
151,Edward Raradza,Zimbabwe,716017725,Stub,"17,354,000"
152,Rekayi Tangwena,Zimbabwe,716669163,Stub,"17,354,000"
153,Sibonile Nyamudeza,Zimbabwe,717380254,Stub,"17,354,000"
154,Misheck Kagurabadza,Zimbabwe,720008799,Stub,"17,354,000"
155,Morgan Femai,Zimbabwe,721674926,Stub,"17,354,000"
156,Bybit Lydia Tsomondo,Zimbabwe,723082034,Stub,"17,354,000"
157,Kisinoti Mukwazhe,Zimbabwe,723353282,Stub,"17,354,000"
158,David Karimanzira,Zimbabwe,725242133,Stub,"17,354,000"
159,Sobusa Gula-Ndebele,Zimbabwe,726651867,Stub,"17,354,000"
160,Sylvester Nguni,Zimbabwe,726686195,Stub,"17,354,000"
161,Thamsanqa Mahlangu,Zimbabwe,726687480,Stub,"17,354,000"
162,Tichaona Mudzingwa,Zimbabwe,726687648,Stub,"17,354,000"
163,Murisi Zwizwai,Zimbabwe,726687669,Stub,"17,354,000"
164,Samuel Undenge,Zimbabwe,726688144,Stub,"17,354,000"
165,Reuben Marumahoko,Zimbabwe,726688205,Stub,"17,354,000"
166,Simon Khaya-Moyo,Zimbabwe,730764918,Stub,"17,354,000"
167,"List of candidates in the Zimbabwean parliamentary election, 2013",Zimbabwe,735498335,B,"17,354,000"
168,Jevan Maseko,Zimbabwe,736911246,Stub,"17,354,000"
169,Munacho Mutezo,Zimbabwe,738729779,Stub,"17,354,000"
170,Sesel Zvidzai,Zimbabwe,738810400,Stub,"17,354,000"
171,Samuel Sipepa Nkomo,Zimbabwe,738992625,Stub,"17,354,000"
172,Faber Chidarikire,Zimbabwe,738992871,Start,"17,354,000"
173,Willard Chiwewe,Zimbabwe,738992910,Stub,"17,354,000"
174,Martin Dinha,Zimbabwe,738992918,Stub,"17,354,000"
175,Herbert Ushewokunze,Zimbabwe,739137894,Stub,"17,354,000"
176,Nyasha Chikwinya,Zimbabwe,742899761,Start,"17,354,000"
177,Naomi Nhiwatiwa,Zimbabwe,743971092,Start,"17,354,000"
178,Bright Matonga,Zimbabwe,744753863,Stub,"17,354,000"
179,Thokozani Khuphe,Zimbabwe,747274193,Start,"17,354,000"
180,Border Gezi,Zimbabwe,748061603,Start,"17,354,000"
181,Rugare Gumbo,Zimbabwe,749496266,Start,"17,354,000"
182,George Nyandoro,Zimbabwe,750224976,Start,"17,354,000"
183,Paul Chimedza,Zimbabwe,750428952,Stub,"17,354,000"
184,Gorden Moyo,Zimbabwe,750974704,Stub,"17,354,000"
185,Daniel Shumba,Zimbabwe,753294248,Start,"17,354,000"
186,Douglas Mombeshora,Zimbabwe,755110125,Stub,"17,354,000"
187,Munyaradzi Gwisai,Zimbabwe,755337199,Start,"17,354,000"
188,Olivia Muchena,Zimbabwe,757616307,Start,"17,354,000"
189,Paurine Mpariwa,Zimbabwe,757616437,Stub,"17,354,000"
190,Sithembiso Nyoni,Zimbabwe,757617613,Stub,"17,354,000"
191,Earnest Mudzengi,Zimbabwe,757796569,Stub,"17,354,000"
192,Gift Banda,Zimbabwe,758442662,Stub,"17,354,000"
193,Wilson Kumbula,Zimbabwe,759330558,Stub,"17,354,000"
194,Paurina Mpariwa,Zimbabwe,760532029,Stub,"17,354,000"
195,Flora Buka,Zimbabwe,762630896,Stub,"17,354,000"
196,Elliot Manyika,Zimbabwe,763330074,Start,"17,354,000"
197,Diana Mitchell,Zimbabwe,764299725,Start,"17,354,000"
198,Maurice Nyagumbo,Zimbabwe,764826793,Start,"17,354,000"
199,Josiah Zion Gumede,Zimbabwe,765095810,Start,"17,354,000"
200,Edson Zvobgo,Zimbabwe,767922311,Start,"17,354,000"
201,Felix Magalela Mafa Sibanda,Zimbabwe,769519957,C,"17,354,000"
202,Tracy Mutinhiri,Zimbabwe,769876632,Stub,"17,354,000"
203,Kayisa Ndiweni,Zimbabwe,771958995,Stub,"17,354,000"
204,Enoch Dumbutshena,Zimbabwe,774026217,Stub,"17,354,000"
205,Hubert Nyanhongo,Zimbabwe,774061307,Stub,"17,354,000"
206,James Chikerema,Zimbabwe,775935799,C,"17,354,000"
207,Victoria Chitepo,Zimbabwe,776389556,Start,"17,354,000"
208,Joel Gabuza,Zimbabwe,776840034,Stub,"17,354,000"
209,Trudy Stevenson,Zimbabwe,776943338,Start,"17,354,000"
210,Joram Gumbo,Zimbabwe,777424335,Stub,"17,354,000"
211,Joseph Chinotimba,Zimbabwe,777482252,C,"17,354,000"
212,Nkululeko Sibanda,Zimbabwe,777623864,Start,"17,354,000"
213,Janet Banana,Zimbabwe,777849777,Stub,"17,354,000"
214,Lazarus Dokora,Zimbabwe,780062778,Stub,"17,354,000"
215,Lutho Tapela,Zimbabwe,782607746,Stub,"17,354,000"
216,Moven Mahachi,Zimbabwe,783298283,Start,"17,354,000"
217,Margaret Dongo,Zimbabwe,783419906,Start,"17,354,000"
218,Sekai Holland,Zimbabwe,783637102,C,"17,354,000"
219,George Chiweshe,Zimbabwe,783919896,Start,"17,354,000"
220,Josiah Mushore Chinamano,Zimbabwe,784396785,Stub,"17,354,000"
221,Michael Bimha,Zimbabwe,784668448,Stub,"17,354,000"
222,Josiah Tongogara,Zimbabwe,786913202,C,"17,354,000"
223,Naison Ndlovu,Zimbabwe,787854175,Stub,"17,354,000"
224,Enos Mdlongwa,Zimbabwe,787854640,Stub,"17,354,000"
225,Lindiwe Majele Sibanda,Zimbabwe,788247480,Start,"17,354,000"
226,Ndabaningi Sithole,Zimbabwe,788291899,C,"17,354,000"
227,Ambrose Mutinhiri,Zimbabwe,788777043,Stub,"17,354,000"
228,Judith Todd,Zimbabwe,788792548,Start,"17,354,000"
229,Andrew Langa,Zimbabwe,789094827,Stub,"17,354,000"
230,Christopher Kuruneri,Zimbabwe,789427326,Start,"17,354,000"
231,Priscilla Misihairabwi-Mushonga,Zimbabwe,789545114,Stub,"17,354,000"
232,Swithun Mombeshora,Zimbabwe,789545179,Stub,"17,354,000"
233,Oppah Muchinguri,Zimbabwe,789545185,Stub,"17,354,000"
234,Samuel Mumbengegwi,Zimbabwe,789545206,Start,"17,354,000"
235,Chris Mushohwe,Zimbabwe,789545212,Stub,"17,354,000"
236,Giles Mutsekwa,Zimbabwe,789545214,Stub,"17,354,000"
237,Francis Nhema,Zimbabwe,789545220,Stub,"17,354,000"
238,Mike Nyambuya,Zimbabwe,789545233,Stub,"17,354,000"
239,Solomon Mujuru,Zimbabwe,789898624,C,"17,354,000"
240,Ronald Penza,Zimbabwe,789948565,Stub,"17,354,000"
241,Joseph Made,Zimbabwe,789965571,Start,"17,354,000"
242,Evelyn Masaiti,Zimbabwe,790034879,Stub,"17,354,000"
243,Jessie Majome,Zimbabwe,790035057,Start,"17,354,000"
244,Theresa Makoni,Zimbabwe,790423262,Stub,"17,354,000"
245,List of Presidents of the Senate of Zimbabwe,Zimbabwe,791068367,Stub,"17,354,000"
246,Blessing Chebundo,Zimbabwe,791690130,Start,"17,354,000"
247,George Charamba,Zimbabwe,793738070,Start,"17,354,000"
248,Chenhanho Chimutengwende,Zimbabwe,793820850,Start,"17,354,000"
249,Simon Muzenda,Zimbabwe,794934380,Start,"17,354,000"
250,Witness Mangwende,Zimbabwe,794934451,Start,"17,354,000"
251,Nathan Shamuyarira,Zimbabwe,794934469,C,"17,354,000"
252,Joseph Makamba Busha,Zimbabwe,795007156,Stub,"17,354,000"
253,Walter Chidakwa,Zimbabwe,795247525,Stub,"17,354,000"
254,Maxwell Zeb Shumba,Zimbabwe,795637625,Start,"17,354,000"
255,Henry Madzorera,Zimbabwe,795846349,Stub,"17,354,000"
256,First Lady of Zimbabwe,Zimbabwe,796477244,Stub,"17,354,000"
257,Charles Shanyurai Majange,Zimbabwe,796608492,Stub,"17,354,000"
258,Elleck Mashingaidze,Zimbabwe,796726442,Stub,"17,354,000"
259,Phillip Chiyangwa,Zimbabwe,797170378,Start,"17,354,000"
260,Chenjerai Hunzvi,Zimbabwe,797225827,C,"17,354,000"
261,Edward Chindori-Chininga,Zimbabwe,797414978,Start,"17,354,000"
262,Arthur Mutambara,Zimbabwe,797932659,C,"17,354,000"
263,Edgar Tekere,Zimbabwe,798106157,C,"17,354,000"
264,Psychology Maziwisa,Zimbabwe,798140615,C,"17,354,000"
265,Isaac Matongo,Zimbabwe,798248963,Stub,"17,354,000"
266,Julia Tukai Zvobgo,Zimbabwe,798468363,C,"17,354,000"
267,Jameson Timba,Zimbabwe,799326094,Stub,"17,354,000"
268,Ben Ncube,Zimbabwe,799405378,Stub,"17,354,000"
269,Obedingwa Mguni,Zimbabwe,799406056,Stub,"17,354,000"
270,Denis Norman,Zimbabwe,799605293,Start,"17,354,000"
271,Japhet Ndabeni Ncube,Zimbabwe,800407734,Stub,"17,354,000"
272,Nicholas Mabodoko,Zimbabwe,800407872,Stub,"17,354,000"
273,Fay Chung,Zimbabwe,800705666,C,"17,354,000"
274,Alfred Makwarimba,Zimbabwe,801370822,Stub,"17,354,000"
275,Elphas Mukonoweshuro,Zimbabwe,801488585,Stub,"17,354,000"
276,Elton Mangoma,Zimbabwe,801497420,Start,"17,354,000"
277,Edna Madzongwe,Zimbabwe,802259324,Start,"17,354,000"
278,Fidelis Mhashu,Zimbabwe,803084855,Stub,"17,354,000"
279,Promise Mkwananzi,Zimbabwe,803579259,Start,"17,354,000"
280,Saviour Kasukuwere,Zimbabwe,804677245,Start,"17,354,000"
281,Walter Mzembi,Zimbabwe,804678140,Stub,"17,354,000"
282,Kembo Mohadi,Zimbabwe,804811059,Start,"17,354,000"
283,Learnmore Jongwe,Zimbabwe,804844902,Start,"17,354,000"
284,Lovemore Madhuku,Zimbabwe,804895632,C,"17,354,000"
285,List of Finance Ministers of Zimbabwe,Zimbabwe,804914333,Stub,"17,354,000"
286,Joice Mujuru,Zimbabwe,805993308,C,"17,354,000"
287,Ignatious Chombo,Zimbabwe,806656210,Start,"17,354,000"
288,Robert Mugabe,Zimbabwe,806814411,FA,"17,354,000"
289,Tichafa Samuel Parirenyatwa,Zimbabwe,807159774,C,"17,354,000"
290,Guy Georgias,Zimbabwe,807196681,Start,"17,354,000"
291,Grace Mugabe,Zimbabwe,807337237,GA,"17,354,000"
292,Guy Clutton-Brock,Zimbabwe,807442408,Start,"17,354,000"
293,Template:Uganda-politician-stub,Uganda,391862070,Stub,"40,141,000"
294,Template:Uganda-mayor-stub,Uganda,444767727,Stub,"40,141,000"
295,Yosia Nadiope of Busoga,Uganda,655390291,Stub,"40,141,000"
296,Patrick Mutono,Uganda,684295893,Stub,"40,141,000"
297,Stanislaus Okurut,Uganda,689614169,Stub,"40,141,000"
298,Charles Oboth Ofumbi,Uganda,693292931,Start,"40,141,000"
299,Pumla Kisosonkole,Uganda,693388584,Start,"40,141,000"
300,Francis K. Butagira,Uganda,707473503,Start,"40,141,000"
301,Otema Allimadi,Uganda,708054598,Stub,"40,141,000"
302,Omwony Ojwok,Uganda,713020154,Stub,"40,141,000"
303,Jachan Mandir Omach,Uganda,715433158,Stub,"40,141,000"
304,Onegi Obel,Uganda,717146307,Start,"40,141,000"
305,Saleh Kamba,Uganda,720059752,Stub,"40,141,000"
306,John Kabaireho,Uganda,723957779,Stub,"40,141,000"
307,Tete Chelangat,Uganda,724554948,Stub,"40,141,000"
308,Sarah Kanyike,Uganda,725742962,Stub,"40,141,000"
309,Gagawala Wambuzi,Uganda,726767754,Stub,"40,141,000"
310,Julius Wandera Maganda,Uganda,726918511,Stub,"40,141,000"
311,Haruna Kasolo Kyeyune,Uganda,726919678,Stub,"40,141,000"
312,Yabezi Kiiza,Uganda,736273855,Stub,"40,141,000"
313,Semei Kakungulu,Uganda,737799048,Start,"40,141,000"
314,Abu Mayanja,Uganda,746946728,C,"40,141,000"
315,Daniel Kidega,Uganda,753278613,Start,"40,141,000"
316,Eng Abner Nangwale,Uganda,756457100,Stub,"40,141,000"
317,Yowabu Magada Kawaluuko,Uganda,757388522,Start,"40,141,000"
318,Grace Kwiyucwiny,Uganda,757563021,Start,"40,141,000"
319,Mary Goretti Kitutu,Uganda,757615490,Start,"40,141,000"
320,Rukiya Chekamondo,Uganda,757616921,Start,"40,141,000"
321,Sezi Mbaguta,Uganda,757617202,Start,"40,141,000"
322,Frederick Ngobi Gume,Uganda,758395750,Stub,"40,141,000"
323,Rosemary Seninde,Uganda,758567928,Start,"40,141,000"
324,Gerald Ssendaula,Uganda,759366517,C,"40,141,000"
325,Juma Oris,Uganda,759378614,Stub,"40,141,000"
326,Godfrey Kiwanda,Uganda,759877869,Stub,"40,141,000"
327,Geoffrey Onegi Obel,Uganda,760056661,Start,"40,141,000"
328,Tom Butime,Uganda,760181848,Start,"40,141,000"
329,Dennis Galabuzi Ssozi,Uganda,760184747,Start,"40,141,000"
330,Ken Lukyamuzi,Uganda,763247419,Stub,"40,141,000"
331,Victoria Sekitoleko,Uganda,766481345,C,"40,141,000"
332,Emmanuel Otala,Uganda,766665157,Start,"40,141,000"
333,Kabakumba Masiko,Uganda,770316807,C,"40,141,000"
334,Innocent Oula,Uganda,771724283,Start,"40,141,000"
335,Isaac Mulindwa,Uganda,773245217,Start,"40,141,000"
336,Hope Mwesigye,Uganda,773870932,Start,"40,141,000"
337,Katikkiro of Buganda,Uganda,774683767,Stub,"40,141,000"
338,Daudi Cwa II of Buganda,Uganda,774683907,Start,"40,141,000"
339,Ssuuna II of Buganda,Uganda,774684052,Start,"40,141,000"
340,Kamaanya of Buganda,Uganda,774684080,C,"40,141,000"
341,Semakookiro of Buganda,Uganda,774684109,Start,"40,141,000"
342,Jjunju of Buganda,Uganda,774684124,Start,"40,141,000"
343,Kato Kintu,Uganda,774684195,Start,"40,141,000"
344,Chwa I of Buganda,Uganda,774684228,Start,"40,141,000"
345,Kyabaggu of Buganda,Uganda,774830237,Start,"40,141,000"
346,Kiweewa of Buganda,Uganda,774831268,Start,"40,141,000"
347,Ismael Orot,Uganda,775522497,Stub,"40,141,000"
348,James Obita,Uganda,775995921,Stub,"40,141,000"
349,Janat Mukwaya,Uganda,776107670,Start,"40,141,000"
350,Besueri Kiwanuka Lusse Mulondo,Uganda,776344991,Start,"40,141,000"
351,Jeremiah Twa-Twa,Uganda,776491782,Start,"40,141,000"
352,Joyce Kakuramatsi Kikafunda,Uganda,777643576,Stub,"40,141,000"
353,Kania Obiga,Uganda,778265355,Stub,"40,141,000"
354,Apollo Kironde,Uganda,778598971,Stub,"40,141,000"
355,Kibirige Mayanja,Uganda,778840186,Start,"40,141,000"
356,Kintu Musoke,Uganda,779007768,Start,"40,141,000"
357,Jessica Alupo,Uganda,779397351,Start,"40,141,000"
358,Rebecca Amuge Otengo,Uganda,779397437,Start,"40,141,000"
359,Syda Bbumba,Uganda,779397532,Start,"40,141,000"
360,Alintuma Nsambu,Uganda,781605803,Stub,"40,141,000"
361,Esther Mbulakubuza Mbayo,Uganda,781789704,Start,"40,141,000"
362,Abdul Nadduli,Uganda,782460126,Stub,"40,141,000"
363,Moses Kizige,Uganda,782979760,Start,"40,141,000"
364,Maria Kiwanuka,Uganda,783449036,Start,"40,141,000"
365,Elijah Mushemeza,Uganda,784734768,Start,"40,141,000"
366,Michael Lulume Bayigga,Uganda,784768216,Start,"40,141,000"
367,Deo Rwabiita,Uganda,785038536,Stub,"40,141,000"
368,Daudi Ochieng,Uganda,785108122,Stub,"40,141,000"
369,Joy Kabatsi,Uganda,785339072,Start,"40,141,000"
370,Joshua Wanume Kibedi,Uganda,785862055,C,"40,141,000"
371,Kizza Besigye,Uganda,786081128,C,"40,141,000"
372,Apolo Kagwa,Uganda,786226893,C,"40,141,000"
373,Michael Kawalya Kagwa,Uganda,787306486,Stub,"40,141,000"
374,Abed Bwanika,Uganda,787410566,Start,"40,141,000"
375,Aggrey Awori,Uganda,787858057,C,"40,141,000"
376,Aggrey Bagiire,Uganda,787858062,Stub,"40,141,000"
377,Agnes Akiror,Uganda,787870163,Start,"40,141,000"
378,Namirembe Bitamazire,Uganda,788019797,Start,"40,141,000"
379,Amon Bazira,Uganda,788899061,Stub,"40,141,000"
380,Christopher Iga,Uganda,788972378,Stub,"40,141,000"
381,Nasser Sebaggala,Uganda,788972461,Start,"40,141,000"
382,Erias Lukwago,Uganda,788972566,Start,"40,141,000"
383,Template:KampalaMayors,Uganda,788972642,Stub,"40,141,000"
384,Beatrice Wabudeya,Uganda,789747515,Start,"40,141,000"
385,Jane Aceng,Uganda,789747629,C,"40,141,000"
386,Ruth Achieng,Uganda,789747664,Stub,"40,141,000"
387,Justine Ayebazibwe,Uganda,789748037,Stub,"40,141,000"
388,Jessica Eriyo,Uganda,789748269,Start,"40,141,000"
389,Mary Karooro Okurut,Uganda,789748670,C,"40,141,000"
390,Adrian Tibaleka,Uganda,789748752,Stub,"40,141,000"
391,Nusura Tiperu,Uganda,789748782,Start,"40,141,000"
392,Florence Nakiwala Kiyingi,Uganda,789748978,Start,"40,141,000"
393,Ruth Nankabirwa,Uganda,789799593,Start,"40,141,000"
394,Justine Lumumba Kasule,Uganda,789799605,Start,"40,141,000"
395,Idah Nantaba,Uganda,789799744,C,"40,141,000"
396,Harriet Ntabazi,Uganda,789799847,Start,"40,141,000"
397,Florence Nebanda,Uganda,789799901,Start,"40,141,000"
398,Lukia Isanga Nakadama,Uganda,789799952,Start,"40,141,000"
399,Mariam Nalubega,Uganda,789799984,Start,"40,141,000"
400,Jenipher Namuyangu,Uganda,789800111,C,"40,141,000"
401,Sarah Kataike,Uganda,789800331,C,"40,141,000"
402,Caroline Amali Okao,Uganda,789800629,Start,"40,141,000"
403,Beatrice Rwakimari,Uganda,789803765,Stub,"40,141,000"
404,Mariam Naigaga,Uganda,790372580,C,"40,141,000"
